batch_size	lr	frame_length	frame_shift	num_mel_bins	xent	accuracy
64	0.1	10.0	10.0	100	0.1937302671238975	93.78068739770868
64	0.05	25.0	25.0	80	0.18921215113140552	93.78068739770868
64	0.05	47.0	10.0	80	0.18192546513978564	93.78068739770868
64	0.2	41.0	10.0	80	0.1874976325506235	93.78068739770868
64	0.1	25.0	29.0	40	0.19400361617053158	93.82160392798691
64	0.2	25.0	17.0	80	0.18667021736478298	93.84206219312603
64	0.05	7.0	10.0	120	0.1759735270360716	93.86252045826514
64	0.05	25.0	23.0	40	0.18392076672000043	93.86252045826514
64	0.31966121878832954	49.0	23.0	69	0.18143701188120187	93.86252045826514
64	0.05	45.0	10.0	120	0.17653361294004652	93.88297872340425
64	0.05	15.0	10.0	120	0.18596126861699852	93.88297872340425
64	0.2	25.0	23.0	80	0.1917629932613398	93.88297872340425
64	0.1	10.0	10.0	120	0.18347014145913468	93.90343698854338
64	0.05	25.0	39.0	40	0.1838650266134661	93.90343698854338
64	0.2	47.0	10.0	80	0.18771631915116183	93.90343698854338
64	0.05	30.0	10.0	80	0.1829542377233213	93.92389525368249
64	0.05	10.0	10.0	10	0.18930465539801694	93.92389525368249
64	0.05	25.0	10.0	100	0.18417261109316077	93.92389525368249
64	0.15798222030345047	52.0	25.0	50	0.19460702375843633	93.92389525368249
64	0.1	33.0	10.0	80	0.19443802184918346	93.96481178396073
64	0.05	41.0	10.0	80	0.19591845745476438	93.98527004909984
64	0.05	13.0	10.0	120	0.19200405261168876	94.00572831423895
64	0.05	37.0	10.0	80	0.18182922674501253	94.00572831423895
64	0.1	13.0	10.0	80	0.18916370859217457	94.00572831423895
64	0.2	31.0	10.0	80	0.18373625636332078	94.00572831423895
64	0.1	25.0	10.0	80	0.17565291626622376	94.02618657937806
64	0.1	25.0	10.0	60	0.1774966257374758	94.04664484451717
64	0.05	19.0	10.0	80	0.18944826566315945	94.04664484451717
64	0.05	25.0	27.0	40	0.18111318294674134	94.0671031096563
64	0.5075217026436076	7.0	7.0	80	0.18404406247648344	94.0671031096563
64	0.2	10.0	10.0	100	0.17992822303333217	94.0671031096563
64	0.2	9.0	10.0	40	0.17963583100270603	94.10801963993454
64	0.1	10.0	10.0	10	0.1843735636394544	94.12847790507365
64	0.2	10.0	10.0	10	0.18122369667600377	94.12847790507365
64	0.1	37.0	10.0	80	0.1794947050268354	94.12847790507365
64	0.024014811393032718	6.0	6.0	35	0.18478591121684493	94.14893617021278
64	0.2	25.0	5.0	80	0.18369090319702439	94.14893617021278
64	0.1	23.0	10.0	80	0.18066049832850695	94.14893617021278
64	0.1	13.0	10.0	120	0.17858305133672225	94.16939443535188
64	0.05	25.0	29.0	40	0.1837994298354412	94.16939443535188
64	0.2	30.0	10.0	80	0.17914690319266097	94.16939443535188
64	0.05	25.0	5.0	80	0.19888119375199273	94.18985270049099
64	0.1	47.0	10.0	80	0.1905726982049303	94.18985270049099
64	0.05	11.0	10.0	120	0.17652680286589792	94.21031096563011
64	0.2	49.0	10.0	80	0.1763879339776787	94.21031096563011
64	0.05	25.0	10.0	80	0.1777044352223135	94.23076923076923
64	0.2	25.0	23.0	40	0.18332251592910562	94.23076923076923
64	0.1	30.0	10.0	100	0.18397869455804622	94.25122749590835
64	0.02109606072080639	46.0	21.0	42	0.17261331893649756	94.25122749590835
64	0.1	10.0	10.0	60	0.1807204359150157	94.27168576104746
64	0.1	39.0	10.0	80	0.17454412745104897	94.27168576104746
64	0.2	25.0	10.0	80	0.16835652093336084	94.29214402618658
64	0.2	25.0	21.0	40	0.1828897421315215	94.29214402618658
64	0.1	5.0	10.0	80	0.172862754895784	94.3126022913257
64	0.03496197127924452	40.0	27.0	62	0.1636861368429427	94.3126022913257
64	0.05	39.0	10.0	80	0.1842084571329597	94.3126022913257
64	0.1	25.0	10.0	10	0.175394541559607	94.35351882160393
64	0.05	30.0	10.0	60	0.18182479580438216	94.35351882160393
64	0.1	5.0	10.0	40	0.1823351277537595	94.35351882160393
64	0.2	10.0	10.0	120	0.17932931090297263	94.35351882160393
64	0.1	25.0	23.0	40	0.17884053760573415	94.35351882160393
64	0.2	11.0	10.0	40	0.17128989155848626	94.35351882160393
64	0.2	9.0	10.0	80	0.17908806193108653	94.37397708674304
64	0.1	25.0	19.0	80	0.1695097449815412	94.39443535188215
64	0.2	43.0	10.0	80	0.17133714390151641	94.39443535188215
64	0.2	27.0	10.0	80	0.16841827930115602	94.41489361702128
64	0.1	27.0	10.0	80	0.16620253683889613	94.41489361702128
64	0.023158128862424802	21.0	14.0	65	0.16072853042263222	94.43535188216039
64	0.6513615402384113	49.0	23.0	41	0.17793274708122647	94.43535188216039
64	0.05	35.0	10.0	80	0.16087878495454788	94.43535188216039
64	0.1	25.0	25.0	40	0.1734146146298526	94.43535188216039
64	0.1	15.0	10.0	80	0.1588831845537023	94.49672667757774
64	0.1	25.0	21.0	80	0.1723786735986329	94.49672667757774
64	0.1	35.0	10.0	80	0.16032550980647406	94.49672667757774
64	0.1	30.0	10.0	10	0.1622452790623689	94.51718494271685
64	0.05	25.0	15.0	80	0.16264269887347968	94.53764320785596
64	0.1	15.0	10.0	120	0.17462516313090043	94.53764320785596
64	0.1	21.0	10.0	80	0.16906910322703958	94.53764320785596
64	0.05	15.0	10.0	120	0.170864664407727	94.55810147299509
64	0.2	25.0	10.0	100	0.17317640770445852	94.55810147299509
64	0.1	10.0	10.0	40	0.16604724787693056	94.5785597381342
64	0.1	9.0	10.0	80	0.15930168135882983	94.5785597381342
64	0.1	25.0	17.0	80	0.16784565262739953	94.5785597381342
64	0.2	25.0	11.0	80	0.17889877586485514	94.5785597381342
64	0.05	25.0	17.0	80	0.17753571142850358	94.61947626841244
64	0.09164941539033766	21.0	17.0	44	0.163130716092008	94.61947626841244
64	0.2	30.0	10.0	60	0.17294698677884013	94.63993453355155
64	0.05	25.0	10.0	10	0.15707127100733273	94.66039279869068
64	0.05	29.0	10.0	80	0.16893530111102498	94.66039279869068
64	0.1	43.0	10.0	80	0.15725365490500443	94.66039279869068
64	0.2	7.0	10.0	40	0.15378676169838001	94.66039279869068
64	0.05	25.0	19.0	80	0.17296097674361413	94.68085106382979
64	0.8476622158382952	9.0	8.0	50	0.1657939862301634	94.68085106382979
64	0.05	7.0	10.0	40	0.1598216193344663	94.68085106382979
64	0.01727229032502905	20.0	18.0	22	0.1591001157374943	94.68085106382979
64	0.2	25.0	25.0	40	0.17291951276897605	94.68085106382979
64	0.2	10.0	10.0	80	0.16983835866638258	94.68085106382979
64	0.05	5.0	10.0	40	0.16511247818376504	94.68085106382979
64	0.1	25.0	7.0	80	0.1573509530779096	94.7013093289689
64	0.1	25.0	10.0	80	0.161594640895773	94.72176759410802
64	0.2	30.0	10.0	10	0.1533307611357932	94.72176759410802
64	0.1	25.0	5.0	80	0.16077292793326908	94.72176759410802
64	0.05	23.0	10.0	80	0.15599469575130082	94.72176759410802
64	0.2	25.0	9.0	40	0.15439757899521223	94.74222585924713
64	0.2	10.0	10.0	20	0.15634476462853888	94.74222585924713
64	0.05	15.0	10.0	40	0.16649031690839264	94.74222585924713
64	0.1	29.0	10.0	80	0.16168258962483187	94.76268412438625
64	0.2	15.0	10.0	80	0.1626796746760412	94.78314238952537
64	0.1	30.0	10.0	80	0.1591877886672425	94.80360065466449
64	0.05	25.0	5.0	40	0.16658346238089541	94.80360065466449
64	0.05	45.0	10.0	80	0.16145935286219945	94.80360065466449
64	0.05	17.0	10.0	80	0.1597763884139591	94.80360065466449
64	0.2	45.0	10.0	80	0.16305588882148656	94.8240589198036
64	0.1	25.0	11.0	80	0.17284127154381446	94.8240589198036
64	0.05	25.0	10.0	60	0.15855340151651914	94.84451718494272
64	0.05	30.0	10.0	10	0.1592816308968597	94.84451718494272
64	0.05	43.0	10.0	80	0.16401509663053587	94.84451718494272
64	0.05	49.0	10.0	80	0.1489724719994306	94.86497545008183
64	0.1	19.0	10.0	80	0.15719942579325896	94.86497545008183
64	0.2	25.0	15.0	80	0.15633765096757926	94.88543371522094
64	0.6165690425890702	47.0	23.0	61	0.16167579563682688	94.88543371522094
64	0.05	11.0	10.0	80	0.16210515641309078	94.90589198036007
64	0.1	7.0	10.0	40	0.15346520139190545	94.90589198036007
64	0.2	17.0	10.0	80	0.1595515481689397	94.90589198036007
64	0.1	25.0	19.0	40	0.1543171916284836	94.92635024549918
64	0.12113421740523476	26.0	13.0	65	0.15645808759019894	94.92635024549918
64	0.05	15.0	10.0	80	0.15449216039668695	94.92635024549918
64	0.2	25.0	13.0	80	0.15177981764857285	94.9468085106383
64	0.05	25.0	25.0	40	0.14646076977411224	94.96726677577742
64	0.1	41.0	10.0	80	0.1578908398887447	94.96726677577742
64	0.2	21.0	10.0	80	0.14711459719589637	95.00818330605566
64	0.2	29.0	10.0	80	0.16032249363614062	95.00818330605566
64	0.1	9.0	10.0	40	0.15534543825520408	95.00818330605566
64	0.05	10.0	10.0	40	0.16083149073852432	95.02864157119475
64	0.02171566244611861	56.0	9.0	52	0.1564730231351907	95.02864157119475
64	0.05	11.0	10.0	40	0.14902700508147285	95.02864157119475
64	0.05	10.0	10.0	60	0.15645360936915953	95.04909983633388
64	0.05	25.0	19.0	40	0.15094335052775207	95.06955810147299
64	0.1	25.0	15.0	40	0.15337452360617568	95.06955810147299
64	0.05	23.0	10.0	40	0.14525941636084633	95.06955810147299
64	0.2	25.0	7.0	40	0.1485725638328814	95.0900163666121
64	0.2	37.0	10.0	80	0.1634298954280763	95.0900163666121
64	0.023324283607716722	12.0	7.0	49	0.16122570736151115	95.0900163666121
64	0.1	31.0	10.0	80	0.1445380235516947	95.11047463175123
64	0.05494377852673218	10.0	10.0	71	0.149615262781142	95.11047463175123
64	0.1	10.0	10.0	20	0.14314289694481525	95.13093289689034
64	0.7636398107953781	19.0	10.0	57	0.15017517123697022	95.13093289689034
64	0.2	19.0	10.0	80	0.15377155775386914	95.13093289689034
64	0.05	25.0	13.0	40	0.14787483369335044	95.15139116202947
64	0.1	13.0	10.0	40	0.14798943172482884	95.15139116202947
64	0.2	25.0	10.0	10	0.15122990254951896	95.15139116202947
64	0.05	10.0	10.0	80	0.14781990835406617	95.17184942716858
